,capacity_1,capacity_2,capacity_3,capacity_4
252,3402.0,2005.0,1841.0,1725.0
253,2818.0,1660.0,1531.0,1378.0
254,3830.0,2272.0,2011.0,1854.0
255,3242.0,1880.0,1621.0,1492.0
256,3716.0,2212.0,1882.0,1619.0
257,3934.0,2295.0,1988.0,1761.0
258,3326.0,1930.0,1725.0,1588.0
259,3236.0,1921.0,1651.0,1558.0
260,3742.0,2258.0,1911.0,1769.0
261,3296.0,1965.0,1740.0,1549.0
262,3354.0,1983.0,1810.0,1588.0
263,3548.0,2107.0,1856.0,1686.0
264,3630.0,2099.0,1860.0,1670.0
265,3694.0,2155.0,1779.0,1578.0
266,3472.0,2042.0,1825.0,1730.0
267,3456.0,1992.0,1752.0,1480.0
268,4186.0,2424.0,2178.0,1914.0
269,3314.0,1960.0,1802.0,1665.0
270,2930.0,1758.0,1529.0,1458.0
271,2574.0,1527.0,1372.0,1223.0
272,3068.0,1806.0,1661.0,1547.0
273,3202.0,1973.0,1847.0,1653.0
274,3032.0,1896.0,1693.0,1524.0
275,3148.0,1880.0,1677.0,1546.0
276,3150.0,1880.0,1607.0,1469.0
277,3380.0,1994.0,1627.0,1561.0
278,3038.0,1835.0,1602.0,1403.0
279,3700.0,2218.0,1974.0,1701.0
280,3620.0,2115.0,1904.0,1823.0
281,3394.0,2061.0,1786.0,1586.0
282,2714.0,1648.0,1470.0,1312.0
283,3150.0,1873.0,1701.0,1623.0
284,3458.0,2017.0,1687.0,1658.0
285,3380.0,2007.0,1683.0,1476.0
286,4032.0,2414.0,2024.0,1753.0
287,3758.0,2215.0,1826.0,1615.0
288,3096.0,1833.0,1617.0,1464.0
289,3704.0,2141.0,1789.0,1578.0
290,3368.0,1956.0,1708.0,1595.0
291,3262.0,1874.0,1701.0,1622.0
292,3286.0,1974.0,1855.0,1665.0
293,3706.0,2191.0,1974.0,1791.0
294,3476.0,1993.0,1748.0,1653.0
295,3372.0,1989.0,1822.0,1608.0
296,3108.0,1836.0,1679.0,1471.0
297,3580.0,2097.0,1917.0,1751.0
298,3348.0,1968.0,1758.0,1540.0
299,3166.0,1873.0,1614.0,1563.0
300,3160.0,1889.0,1703.0,1576.0
301,3504.0,2041.0,1734.0,1512.0
302,3244.0,1903.0,1755.0,1609.0
303,2896.0,1694.0,1496.0,1427.0
304,3844.0,2293.0,1926.0,1762.0
305,3170.0,1854.0,1677.0,1446.0
306,3354.0,1956.0,1632.0,1430.0
307,2980.0,1766.0,1495.0,1371.0
308,3424.0,2055.0,1887.0,1717.0
309,3166.0,1847.0,1656.0,1563.0
310,3468.0,2024.0,1819.0,1658.0
311,3478.0,2073.0,1787.0,1642.0
312,2900.0,1741.0,1613.0,1438.0
313,2644.0,1586.0,1304.0,1280.0
314,3462.0,2100.0,1826.0,1621.0
315,2844.0,1715.0,1574.0,1481.0
316,3252.0,1934.0,1663.0,1580.0
317,3984.0,2314.0,2066.0,1826.0
318,3942.0,2303.0,1855.0,1711.0
319,3296.0,1979.0,1733.0,1514.0
320,2886.0,1709.0,1530.0,1376.0
321,3608.0,2109.0,1795.0,1719.0
322,3456.0,1988.0,1744.0,1544.0
323,3218.0,1949.0,1681.0,1479.0
324,3382.0,1976.0,1756.0,1499.0
325,3844.0,2223.0,2017.0,1777.0
326,3004.0,1757.0,1533.0,1404.0
327,3198.0,1849.0,1729.0,1580.0
328,3208.0,1921.0,1625.0,1530.0
329,3490.0,2032.0,1769.0,1551.0
330,2960.0,1843.0,1672.0,1568.0
331,3078.0,1818.0,1670.0,1482.0
332,3178.0,1871.0,1597.0,1429.0
333,3564.0,2107.0,1770.0,1617.0
334,3664.0,2126.0,1936.0,1719.0
335,3216.0,1944.0,1620.0,1532.0
336,3384.0,2005.0,1805.0,1687.0
337,2924.0,1728.0,1477.0,1352.0
338,3468.0,2108.0,1928.0,1775.0
339,3056.0,1782.0,1560.0,1415.0
340,3252.0,1941.0,1713.0,1516.0
341,2784.0,1641.0,1504.0,1384.0
342,3128.0,1846.0,1696.0,1570.0
343,2816.0,1696.0,1501.0,1383.0
344,3626.0,2115.0,1739.0,1762.0
345,3578.0,2116.0,1867.0,1724.0
346,3596.0,2144.0,1770.0,1646.0
347,3382.0,1982.0,1797.0,1591.0
348,3440.0,2006.0,1725.0,1637.0
349,3048.0,1827.0,1590.0,1496.0
350,4410.0,2563.0,2066.0,1922.0
351,3154.0,1887.0,1739.0,1543.0
352,3338.0,1965.0,1734.0,1493.0
353,3124.0,1849.0,1593.0,1497.0
354,3268.0,1965.0,1718.0,1514.0
355,2586.0,1535.0,1421.0,1279.0
356,3416.0,2024.0,1734.0,1614.0
357,3208.0,1904.0,1702.0,1524.0
358,3066.0,1785.0,1554.0,1429.0
359,3942.0,2336.0,1858.0,1720.0
360,3112.0,1849.0,1650.0,1423.0
361,3572.0,2105.0,1845.0,1625.0
362,3102.0,1830.0,1662.0,1593.0
363,3426.0,2056.0,1868.0,1682.0
364,3550.0,2104.0,1783.0,1589.0
365,3598.0,2153.0,1941.0,1769.0
366,3102.0,1897.0,1722.0,1656.0
367,3660.0,2102.0,1731.0,1601.0
368,2932.0,1755.0,1634.0,1561.0
369,3746.0,2182.0,1770.0,1685.0
370,3244.0,1978.0,1768.0,1630.0
371,3294.0,1912.0,1730.0,1659.0
372,3450.0,2036.0,1904.0,1619.0
373,3284.0,1981.0,1670.0,1492.0
374,3106.0,1872.0,1574.0,1412.0
375,3100.0,1850.0,1659.0,1516.0
376,3068.0,1848.0,1690.0,1514.0
377,3804.0,2258.0,1997.0,1804.0
378,3510.0,2025.0,1772.0,1597.0
379,3712.0,2180.0,1947.0,1732.0
380,3850.0,2230.0,1941.0,1806.0
381,3240.0,1886.0,1625.0,1502.0
382,4184.0,2405.0,2093.0,1754.0
383,3206.0,1937.0,1695.0,1506.0
384,3170.0,1879.0,1775.0,1647.0
385,2944.0,1764.0,1607.0,1514.0
386,3708.0,2193.0,1921.0,1685.0
387,3886.0,2308.0,2115.0,1801.0
388,3284.0,1937.0,1642.0,1470.0
389,3642.0,2163.0,1833.0,1810.0
390,4002.0,2314.0,1974.0,1852.0
391,3368.0,1998.0,1878.0,1659.0
392,3208.0,1832.0,1662.0,1463.0
393,3430.0,2022.0,1691.0,1631.0
394,3228.0,1914.0,1772.0,1515.0
395,4052.0,2359.0,2094.0,1860.0
396,3464.0,2070.0,1740.0,1592.0
397,3800.0,2244.0,1987.0,1771.0
398,3154.0,1866.0,1591.0,1435.0
399,3126.0,1906.0,1670.0,1426.0
400,4050.0,2347.0,2069.0,1812.0
401,3210.0,1905.0,1635.0,1456.0
402,3824.0,2254.0,1879.0,1642.0
403,2832.0,1705.0,1556.0,1389.0
404,2564.0,1510.0,1346.0,1245.0
405,3064.0,1815.0,1547.0,1470.0
406,3484.0,2077.0,1736.0,1678.0
407,2764.0,1707.0,1488.0,1332.0
408,3924.0,2269.0,1858.0,1724.0
409,3380.0,1987.0,1784.0,1576.0
410,3760.0,2213.0,1896.0,1735.0
411,3032.0,1806.0,1646.0,1406.0
412,2882.0,1785.0,1628.0,1481.0
413,3244.0,1929.0,1670.0,1542.0
414,3374.0,1996.0,1772.0,1637.0
415,3618.0,2146.0,1821.0,1753.0
416,3420.0,2064.0,1872.0,1682.0
417,3122.0,1859.0,1681.0,1576.0
418,3088.0,1832.0,1694.0,1559.0
419,3754.0,2200.0,1940.0,1794.0
420,3384.0,2006.0,1675.0,1587.0
421,3552.0,2082.0,1778.0,1612.0
422,2950.0,1795.0,1522.0,1420.0
423,3306.0,1941.0,1781.0,1672.0
424,3020.0,1832.0,1711.0,1594.0
425,3184.0,1890.0,1685.0,1500.0
426,3696.0,2146.0,1855.0,1675.0
427,3570.0,2090.0,1829.0,1738.0
428,2940.0,1710.0,1540.0,1429.0
429,3390.0,1987.0,1706.0,1488.0
430,3712.0,2159.0,1839.0,1691.0
431,3172.0,1852.0,1639.0,1572.0
432,3044.0,1848.0,1692.0,1523.0
433,3918.0,2311.0,2085.0,1794.0
434,3330.0,2016.0,1766.0,1587.0
435,3328.0,1957.0,1784.0,1684.0
436,3090.0,1790.0,1630.0,1514.0
437,3354.0,1964.0,1775.0,1606.0
438,3524.0,2118.0,1777.0,1607.0
439,3386.0,1969.0,1773.0,1531.0
440,3506.0,2031.0,1749.0,1595.0
441,2964.0,1732.0,1485.0,1267.0
442,3188.0,1843.0,1698.0,1524.0
443,3292.0,1897.0,1678.0,1472.0
444,3578.0,2170.0,1960.0,1846.0
445,2784.0,1650.0,1500.0,1352.0
446,3102.0,1851.0,1699.0,1565.0
447,3462.0,2054.0,1746.0,1612.0
448,3176.0,1922.0,1657.0,1515.0
449,3434.0,1991.0,1811.0,1543.0
450,3596.0,2139.0,1786.0,1702.0
451,3878.0,2275.0,2034.0,1862.0
452,3744.0,2202.0,1863.0,1632.0
453,3516.0,2088.0,1806.0,1627.0
454,3034.0,1804.0,1609.0,1506.0
455,3294.0,1953.0,1698.0,1673.0
