,capacity_1,capacity_2,capacity_3,capacity_4
0,3482,2081.0,1943.0,1634.0
1,3244,1923.0,1571.0,1532.0
2,3190,1902.0,1754.0,1707.0
3,4186,2362.0,2162.0,1992.0
4,3844,2215.0,2065.0,1910.0
5,3916,2254.0,1975.0,1780.0
6,3632,2190.0,2024.0,1749.0
7,3774,2249.0,1837.0,1750.0
8,4208,2473.0,2030.0,1766.0
9,3566,2129.0,1893.0,1766.0
10,3314,1916.0,1700.0,1404.0
11,4610,2700.0,2211.0,1959.0
12,3052,1824.0,1724.0,1528.0
13,2738,1605.0,1554.0,1418.0
14,3090,1896.0,1546.0,1477.0
15,4680,2667.0,2175.0,2039.0
16,3604,2141.0,1815.0,1671.0
17,3684,2153.0,1971.0,1870.0
18,3058,1809.0,1708.0,1460.0
19,2962,1844.0,1658.0,1504.0
20,3826,2206.0,1828.0,1702.0
21,4344,2441.0,2154.0,1879.0
22,3942,2249.0,1906.0,1791.0
23,3568,2108.0,1910.0,1704.0
24,3718,2173.0,1943.0,1646.0
25,3462,1989.0,1854.0,1605.0
26,3362,1985.0,1747.0,1694.0
27,2816,1674.0,1419.0,1345.0
28,3742,2129.0,1841.0,1593.0
29,3844,2344.0,2103.0,1849.0
30,2956,1802.0,1767.0,1486.0
31,3206,1892.0,1820.0,1587.0
32,4456,2550.0,2316.0,2047.0
33,2982,1803.0,1601.0,1493.0
34,3748,2209.0,1881.0,1750.0
35,2542,1592.0,1497.0,1319.0
36,3978,2349.0,1995.0,1884.0
37,3500,2090.0,1836.0,1772.0
38,3600,2107.0,1842.0,1791.0
39,3268,1973.0,1739.0,1742.0
40,3656,2131.0,1917.0,1856.0
41,4358,2502.0,2145.0,2047.0
42,3622,2094.0,1895.0,1650.0
43,2986,1699.0,1408.0,1332.0
44,3254,1918.0,1885.0,1554.0
45,3582,2115.0,1789.0,1628.0
46,3418,2058.0,1801.0,1727.0
47,2902,1691.0,1498.0,1402.0
48,3786,2162.0,1845.0,1674.0
49,3456,2022.0,1839.0,1683.0
50,2688,1618.0,1451.0,1372.0
51,3590,2181.0,1908.0,1780.0
52,4266,2479.0,2179.0,2170.0
53,3402,1976.0,1859.0,1766.0
54,3726,2185.0,1910.0,1845.0
55,3864,2178.0,1908.0,1776.0
56,3340,1974.0,1658.0,1507.0
57,2896,1750.0,1515.0,1508.0
58,3640,2124.0,1863.0,1690.0
59,2696,1614.0,1510.0,1302.0
60,2936,1706.0,1419.0,1346.0
61,3700,2156.0,1804.0,1672.0
62,3820,2246.0,1943.0,1962.0
63,2900,1751.0,1496.0,1360.0
64,3658,2195.0,1887.0,1838.0
65,3076,1870.0,1620.0,1524.0
66,3948,2286.0,2085.0,1901.0
67,3838,2159.0,1974.0,1786.0
68,4284,2533.0,2140.0,1923.0
69,5132,2910.0,2396.0,2237.0
70,3780,2266.0,1911.0,1755.0
71,3790,2232.0,1903.0,1783.0
72,4478,2596.0,2255.0,1996.0
73,3394,2029.0,1874.0,1692.0
74,3072,1783.0,1601.0,1437.0
75,3088,1849.0,1615.0,1530.0
76,3022,1790.0,1621.0,1360.0
77,3298,1871.0,1749.0,1653.0
78,2768,1733.0,1556.0,1322.0
79,3978,2343.0,2008.0,1844.0
80,3738,2319.0,2070.0,1749.0
81,3198,1955.0,1668.0,1407.0
82,3554,2122.0,1883.0,1773.0
83,4000,2330.0,1975.0,1824.0
84,3402,1993.0,1855.0,1596.0
85,3736,2214.0,1919.0,1730.0
86,3280,1915.0,1683.0,1569.0
87,3418,1995.0,1797.0,1637.0
88,3906,2273.0,1969.0,1697.0
89,3172,1877.0,1474.0,1386.0
90,3382,1949.0,1581.0,1463.0
91,3508,2087.0,1751.0,1803.0
92,3192,1872.0,1684.0,1548.0
93,3292,1982.0,1755.0,1596.0
94,3188,1862.0,1654.0,1499.0
95,4090,2404.0,2018.0,1854.0
96,3798,2270.0,1937.0,1771.0
97,3848,2300.0,2008.0,1932.0
98,3774,2196.0,1984.0,1756.0
99,3406,1979.0,1667.0,1589.0
