,capacity_1,capacity_2,capacity_3,capacity_4
0,2150.0,1301.0,1026.0,907.0
1,2814.0,1709.0,1340.0,1131.0
2,2420.0,1417.0,1138.0,921.0
3,1938.0,1204.0,975.0,882.0
4,2908.0,1733.0,1340.0,1125.0
5,2392.0,1453.0,1131.0,980.0
6,2326.0,1434.0,1145.0,999.0
7,2544.0,1516.0,1159.0,1000.0
8,2182.0,1337.0,1087.0,936.0
9,2388.0,1553.0,1227.0,1083.0
10,2526.0,1500.0,1225.0,1028.0
11,2286.0,1385.0,1108.0,965.0
12,2464.0,1500.0,1199.0,1081.0
13,2532.0,1502.0,1178.0,1016.0
14,2148.0,1316.0,1024.0,912.0
15,2714.0,1617.0,1265.0,1080.0
16,2490.0,1489.0,1210.0,1020.0
17,2162.0,1288.0,1053.0,899.0
18,2648.0,1590.0,1216.0,1080.0
19,2594.0,1579.0,1229.0,1073.0
20,2760.0,1642.0,1299.0,1126.0
21,2916.0,1752.0,1390.0,1176.0
22,2270.0,1406.0,1057.0,915.0
23,2846.0,1728.0,1342.0,1164.0
24,2912.0,1707.0,1339.0,1142.0
25,2800.0,1659.0,1287.0,1183.0
26,2902.0,1758.0,1324.0,1171.0
27,2314.0,1398.0,1126.0,983.0
28,2116.0,1286.0,1005.0,872.0
29,2548.0,1511.0,1187.0,1076.0
30,2182.0,1307.0,1037.0,925.0
31,2644.0,1617.0,1262.0,1121.0
32,2540.0,1527.0,1219.0,1062.0
33,2322.0,1405.0,1124.0,960.0
34,2186.0,1288.0,969.0,876.0
35,2476.0,1515.0,1162.0,1014.0
36,2468.0,1486.0,1209.0,1071.0
37,2342.0,1420.0,1089.0,968.0
38,2818.0,1631.0,1262.0,1055.0
39,2338.0,1406.0,1074.0,924.0
40,2308.0,1366.0,1116.0,948.0
41,1936.0,1241.0,1079.0,954.0
42,2388.0,1469.0,1149.0,980.0
43,2282.0,1350.0,1163.0,952.0
44,2260.0,1405.0,1213.0,1057.0
45,2460.0,1543.0,1254.0,1114.0
46,2328.0,1423.0,1104.0,958.0
47,2734.0,1617.0,1241.0,1082.0
48,2230.0,1354.0,1094.0,959.0
49,2640.0,1652.0,1279.0,1136.0
50,2570.0,1494.0,1189.0,1030.0
51,2380.0,1430.0,1130.0,958.0
52,2442.0,1499.0,1206.0,1037.0
53,2832.0,1676.0,1319.0,1128.0
54,2250.0,1373.0,1090.0,936.0
55,2540.0,1485.0,1217.0,1038.0
56,2692.0,1635.0,1295.0,1109.0
57,2402.0,1482.0,1221.0,1049.0
58,2514.0,1522.0,1207.0,1040.0
59,2492.0,1501.0,1197.0,983.0
60,2438.0,1434.0,1113.0,988.0
61,2218.0,1332.0,1049.0,953.0
62,2062.0,1212.0,944.0,816.0
63,2080.0,1245.0,1031.0,861.0
64,2006.0,1221.0,957.0,862.0
65,2498.0,1509.0,1152.0,987.0
66,1998.0,1237.0,982.0,852.0
67,2668.0,1560.0,1238.0,1106.0
68,2642.0,1599.0,1281.0,1109.0
69,2938.0,1752.0,1422.0,1229.0
70,2032.0,1282.0,1009.0,897.0
71,2388.0,1440.0,1147.0,1008.0
72,2384.0,1399.0,1069.0,946.0
73,2142.0,1291.0,998.0,867.0
74,1834.0,1150.0,907.0,783.0
75,2064.0,1246.0,996.0,846.0
76,2082.0,1269.0,1011.0,867.0
77,2804.0,1613.0,1249.0,1071.0
78,2120.0,1299.0,1035.0,886.0
79,2640.0,1568.0,1270.0,1066.0
80,2390.0,1465.0,1147.0,1004.0
81,2418.0,1428.0,1187.0,974.0
82,1986.0,1200.0,948.0,829.0
83,2090.0,1242.0,982.0,844.0
84,2418.0,1476.0,1160.0,1018.0
85,2410.0,1434.0,1130.0,924.0
86,2642.0,1561.0,1169.0,1008.0
87,2572.0,1515.0,1218.0,1012.0
88,2088.0,1288.0,1060.0,922.0
89,2948.0,1752.0,1352.0,1162.0
90,2398.0,1428.0,1176.0,1017.0
91,2318.0,1364.0,1081.0,910.0
92,2652.0,1580.0,1221.0,1089.0
93,2520.0,1552.0,1249.0,1109.0
94,3098.0,1835.0,1382.0,1195.0
95,2522.0,1495.0,1188.0,1004.0
96,2214.0,1359.0,1027.0,922.0
97,2194.0,1358.0,1052.0,898.0
98,2318.0,1405.0,1105.0,947.0
99,2326.0,1421.0,1086.0,952.0
100,2430.0,1504.0,1157.0,994.0
101,3068.0,1794.0,1401.0,1193.0
102,2636.0,1567.0,1185.0,1051.0
103,1712.0,1005.0,830.0,711.0
104,1888.0,1163.0,899.0,804.0
105,1998.0,1221.0,1003.0,897.0
106,2316.0,1369.0,1076.0,931.0
107,2712.0,1642.0,1266.0,1098.0
108,2248.0,1343.0,1061.0,937.0
109,2368.0,1431.0,1135.0,1008.0
110,2342.0,1424.0,1105.0,979.0
111,2582.0,1569.0,1208.0,1086.0
112,2270.0,1405.0,1144.0,1020.0
113,2204.0,1310.0,1061.0,883.0
114,2366.0,1431.0,1082.0,946.0
115,2742.0,1602.0,1241.0,1034.0
116,2632.0,1535.0,1188.0,1003.0
117,2632.0,1537.0,1221.0,1048.0
118,2828.0,1713.0,1341.0,1165.0
119,2532.0,1571.0,1232.0,1096.0
120,2418.0,1470.0,1199.0,1030.0
121,2280.0,1343.0,1045.0,851.0
122,2212.0,1331.0,1088.0,949.0
123,2690.0,1663.0,1294.0,1136.0
124,2800.0,1667.0,1269.0,1091.0
125,1958.0,1213.0,974.0,875.0
126,2496.0,1494.0,1178.0,1044.0
127,2452.0,1512.0,1217.0,1061.0
128,2476.0,1429.0,1146.0,911.0
129,2368.0,1368.0,1098.0,965.0
130,2730.0,1641.0,1280.0,1105.0
131,2136.0,1296.0,1029.0,917.0
132,2494.0,1491.0,1240.0,1039.0
133,2542.0,1539.0,1225.0,1081.0
134,2514.0,1514.0,1211.0,1060.0
135,2660.0,1632.0,1314.0,1148.0
136,2458.0,1504.0,1177.0,1050.0
137,2488.0,1495.0,1186.0,1011.0
138,2590.0,1511.0,1165.0,1019.0
139,1830.0,1156.0,918.0,802.0
140,2232.0,1344.0,1103.0,930.0
141,2736.0,1606.0,1219.0,1060.0
142,2804.0,1687.0,1310.0,1123.0
143,2400.0,1458.0,1182.0,977.0
144,2088.0,1321.0,1048.0,927.0
145,2210.0,1396.0,1076.0,986.0
146,2512.0,1458.0,1195.0,929.0
147,2766.0,1682.0,1340.0,1149.0
148,2466.0,1499.0,1176.0,1001.0
149,2260.0,1410.0,1153.0,1012.0
150,2282.0,1339.0,1025.0,918.0
151,2270.0,1364.0,1076.0,902.0
152,2018.0,1220.0,1029.0,888.0
153,2426.0,1456.0,1116.0,1012.0
154,2010.0,1273.0,1052.0,915.0
155,2672.0,1609.0,1210.0,1104.0
156,2770.0,1649.0,1291.0,1125.0
157,2096.0,1314.0,1092.0,934.0
158,1954.0,1202.0,942.0,825.0
159,2684.0,1582.0,1232.0,1081.0
160,2424.0,1440.0,1092.0,973.0
161,2220.0,1355.0,1046.0,909.0
162,2670.0,1574.0,1265.0,1078.0
163,2322.0,1438.0,1151.0,1018.0
164,2608.0,1589.0,1285.0,1080.0
165,2560.0,1539.0,1193.0,1009.0
166,2356.0,1424.0,1098.0,978.0
167,1968.0,1237.0,985.0,880.0
168,2344.0,1412.0,1134.0,991.0
169,2520.0,1516.0,1229.0,1074.0
170,2074.0,1217.0,979.0,847.0
171,2668.0,1562.0,1186.0,1048.0
172,2380.0,1448.0,1125.0,992.0
173,2386.0,1435.0,1158.0,972.0
174,2930.0,1747.0,1350.0,1164.0
175,2606.0,1548.0,1255.0,1082.0
176,2234.0,1338.0,1065.0,891.0
177,2234.0,1345.0,1031.0,932.0
178,2272.0,1390.0,1081.0,983.0
179,2688.0,1587.0,1277.0,1052.0
180,2066.0,1310.0,1059.0,950.0
181,2156.0,1248.0,1016.0,825.0
182,2452.0,1491.0,1151.0,1048.0
183,2112.0,1278.0,1012.0,892.0
184,2190.0,1356.0,1072.0,960.0
185,2600.0,1617.0,1232.0,1114.0
186,2174.0,1314.0,1040.0,947.0
187,2120.0,1301.0,1050.0,913.0
188,2376.0,1434.0,1126.0,997.0
189,2526.0,1528.0,1219.0,1045.0
190,2214.0,1382.0,1096.0,978.0
191,2596.0,1583.0,1212.0,1107.0
192,2200.0,1332.0,1057.0,939.0
193,2778.0,1686.0,1362.0,1173.0
194,2222.0,1405.0,1126.0,1000.0
195,1896.0,1186.0,974.0,877.0
196,2270.0,1410.0,1112.0,993.0
197,2520.0,1510.0,1171.0,1025.0
198,2840.0,1641.0,1280.0,1096.0
199,2806.0,1695.0,1306.0,1099.0
200,2196.0,1374.0,1081.0,971.0
201,2816.0,1690.0,1298.0,1134.0
202,2132.0,1309.0,1034.0,936.0
203,2318.0,1436.0,1153.0,981.0
204,2178.0,1311.0,1073.0,885.0
205,2198.0,1322.0,1058.0,922.0
206,2136.0,1325.0,1041.0,915.0
207,2232.0,1343.0,1060.0,901.0
208,2618.0,1599.0,1223.0,1123.0
209,3010.0,1756.0,1366.0,1168.0
210,2182.0,1363.0,1075.0,951.0
211,2522.0,1531.0,1175.0,1022.0
212,2486.0,1479.0,1190.0,1001.0
213,2348.0,1410.0,1058.0,937.0
214,1974.0,1201.0,948.0,841.0
215,2416.0,1427.0,1086.0,950.0
216,2740.0,1643.0,1226.0,1079.0
217,2352.0,1397.0,1087.0,971.0
218,2352.0,1429.0,1122.0,969.0
219,2440.0,1495.0,1216.0,1040.0
220,2424.0,1448.0,1149.0,992.0
221,2250.0,1350.0,1059.0,929.0
222,2490.0,1534.0,1175.0,1049.0
223,2176.0,1266.0,971.0,828.0
224,2742.0,1609.0,1278.0,1122.0
225,2358.0,1461.0,1152.0,986.0
226,2338.0,1356.0,987.0,848.0
227,2302.0,1318.0,1098.0,866.0
228,2726.0,1662.0,1294.0,1096.0
229,2220.0,1357.0,1078.0,938.0
230,2128.0,1338.0,1073.0,951.0
231,2620.0,1581.0,1281.0,1054.0
232,2660.0,1569.0,1242.0,1015.0
233,1894.0,1182.0,939.0,861.0
234,2406.0,1426.0,1141.0,961.0
235,2470.0,1481.0,1113.0,1002.0
236,2254.0,1368.0,1058.0,958.0
237,2668.0,1614.0,1285.0,1140.0
