,capacity_1,capacity_2,capacity_3,capacity_4
0,3160.0,1830.0,1428.0,1218.0
1,3138.0,1845.0,1431.0,1181.0
2,2876.0,1745.0,1379.0,1236.0
3,3280.0,1930.0,1495.0,1269.0
4,2814.0,1648.0,1257.0,1055.0
5,2762.0,1632.0,1243.0,1073.0
6,3798.0,2243.0,1739.0,1523.0
7,2896.0,1772.0,1390.0,1207.0
8,3462.0,2036.0,1542.0,1311.0
9,3218.0,1921.0,1439.0,1245.0
10,3236.0,1921.0,1494.0,1286.0
11,3154.0,1839.0,1423.0,1200.0
12,3680.0,2188.0,1670.0,1458.0
13,3528.0,2100.0,1623.0,1379.0
14,2976.0,1796.0,1347.0,1196.0
15,3224.0,1902.0,1493.0,1311.0
16,3400.0,2008.0,1567.0,1353.0
17,3696.0,2164.0,1681.0,1386.0
18,3582.0,2085.0,1635.0,1392.0
19,3998.0,2308.0,1777.0,1511.0
20,3042.0,1839.0,1448.0,1256.0
21,3930.0,2280.0,1739.0,1438.0
22,3764.0,2225.0,1676.0,1506.0
23,3108.0,1903.0,1488.0,1301.0
24,3482.0,2048.0,1506.0,1362.0
25,3652.0,2151.0,1685.0,1434.0
26,3262.0,1924.0,1500.0,1262.0
27,3410.0,1995.0,1538.0,1352.0
28,4212.0,2409.0,1775.0,1533.0
29,3248.0,1927.0,1489.0,1263.0
30,3416.0,2039.0,1571.0,1340.0
31,3836.0,2201.0,1668.0,1442.0
32,3690.0,2133.0,1658.0,1427.0
33,2902.0,1728.0,1391.0,1215.0
34,3296.0,1955.0,1464.0,1273.0
35,3426.0,2051.0,1562.0,1360.0
36,3138.0,1872.0,1416.0,1227.0
37,3346.0,1926.0,1537.0,1253.0
38,3350.0,1960.0,1501.0,1309.0
39,3386.0,1927.0,1469.0,1229.0
40,3496.0,1990.0,1542.0,1288.0
41,3542.0,2091.0,1598.0,1367.0
42,3076.0,1835.0,1430.0,1188.0
43,3408.0,1958.0,1520.0,1266.0
44,3202.0,1891.0,1463.0,1254.0
45,3678.0,2172.0,1711.0,1430.0
46,3092.0,1805.0,1439.0,1205.0
47,3826.0,2227.0,1726.0,1471.0
48,4182.0,2419.0,1805.0,1565.0
49,3844.0,2213.0,1714.0,1451.0
50,3346.0,1983.0,1513.0,1301.0
51,3544.0,2061.0,1596.0,1330.0
52,3744.0,2207.0,1675.0,1463.0
53,3272.0,1928.0,1502.0,1276.0
54,3144.0,1898.0,1491.0,1291.0
55,2836.0,1683.0,1289.0,1103.0
56,3146.0,1852.0,1501.0,1261.0
57,2940.0,1722.0,1352.0,1138.0
58,3204.0,1924.0,1447.0,1273.0
59,3480.0,2074.0,1595.0,1372.0
60,3066.0,1854.0,1445.0,1261.0
61,3432.0,2026.0,1586.0,1351.0
62,2872.0,1715.0,1288.0,1156.0
63,4114.0,2424.0,1888.0,1597.0
64,3374.0,2007.0,1506.0,1340.0
65,3502.0,2064.0,1558.0,1301.0
66,3546.0,2060.0,1621.0,1369.0
67,3628.0,2165.0,1703.0,1434.0
68,3650.0,2121.0,1690.0,1433.0
69,3504.0,2053.0,1552.0,1339.0
70,3772.0,2190.0,1737.0,1468.0
71,4098.0,2407.0,1809.0,1575.0
72,3766.0,2178.0,1650.0,1409.0
73,3846.0,2292.0,1712.0,1491.0
74,3672.0,2180.0,1664.0,1415.0
75,3108.0,1869.0,1502.0,1263.0
76,2934.0,1755.0,1360.0,1161.0
77,3368.0,2019.0,1548.0,1308.0
78,3584.0,2113.0,1677.0,1417.0
79,2928.0,1729.0,1354.0,1149.0
80,2922.0,1729.0,1308.0,1151.0
81,3180.0,1914.0,1471.0,1262.0
82,3562.0,2092.0,1656.0,1416.0
83,3340.0,2002.0,1552.0,1343.0
84,3766.0,2263.0,1783.0,1527.0
85,3150.0,1935.0,1493.0,1330.0
86,3432.0,2014.0,1613.0,1392.0
87,3256.0,1929.0,1511.0,1307.0
88,3038.0,1737.0,1373.0,1186.0
89,2994.0,1773.0,1371.0,1178.0
90,3250.0,1906.0,1443.0,1228.0
91,2838.0,1683.0,1315.0,1153.0
92,3656.0,2156.0,1667.0,1409.0
93,3908.0,2330.0,1792.0,1533.0
94,3482.0,2026.0,1580.0,1357.0
95,3640.0,2133.0,1653.0,1390.0
96,2860.0,1693.0,1313.0,1105.0
97,3092.0,1846.0,1390.0,1228.0
98,3978.0,2314.0,1729.0,1465.0
99,3062.0,1828.0,1464.0,1232.0
100,3640.0,2187.0,1688.0,1429.0
101,3830.0,2220.0,1659.0,1458.0
102,3824.0,2274.0,1763.0,1485.0
103,3308.0,1948.0,1490.0,1274.0
104,3482.0,2059.0,1553.0,1305.0
105,3116.0,1846.0,1466.0,1251.0
106,3596.0,2099.0,1518.0,1323.0
107,3944.0,2288.0,1744.0,1523.0
108,3566.0,2077.0,1553.0,1366.0
109,3600.0,2091.0,1563.0,1330.0
110,3698.0,2142.0,1676.0,1436.0
111,3822.0,2248.0,1697.0,1496.0
112,3676.0,2160.0,1712.0,1400.0
113,3132.0,1885.0,1453.0,1258.0
114,3836.0,2269.0,1715.0,1473.0
115,3204.0,1879.0,1478.0,1243.0
116,3296.0,1929.0,1447.0,1288.0
117,2892.0,1682.0,1239.0,1090.0
118,3104.0,1851.0,1421.0,1231.0
119,3106.0,1867.0,1439.0,1227.0
120,3420.0,2040.0,1578.0,1399.0
121,3388.0,2007.0,1499.0,1337.0
122,3338.0,1975.0,1424.0,1238.0
123,3082.0,1838.0,1410.0,1217.0
124,3586.0,2067.0,1571.0,1358.0
125,3820.0,2187.0,1736.0,1414.0
126,3404.0,1993.0,1489.0,1324.0
127,3306.0,1975.0,1548.0,1356.0
128,3114.0,1795.0,1405.0,1158.0
129,3162.0,1862.0,1431.0,1246.0
130,3476.0,2020.0,1588.0,1345.0
131,3460.0,2026.0,1580.0,1327.0
132,3582.0,2081.0,1587.0,1352.0
133,3248.0,1948.0,1550.0,1315.0
134,3452.0,2029.0,1588.0,1349.0
135,3470.0,2001.0,1480.0,1235.0
136,3100.0,1806.0,1361.0,1208.0
137,3406.0,1982.0,1511.0,1298.0
138,3472.0,2103.0,1687.0,1371.0
139,3246.0,1973.0,1543.0,1357.0
140,3374.0,1959.0,1515.0,1306.0
141,3266.0,1980.0,1507.0,1318.0
142,3298.0,2000.0,1526.0,1294.0
143,3584.0,2093.0,1572.0,1351.0
144,3482.0,2059.0,1617.0,1391.0
145,3078.0,1860.0,1477.0,1246.0
146,3208.0,1927.0,1475.0,1254.0
147,3266.0,1878.0,1472.0,1220.0
148,3338.0,1955.0,1525.0,1292.0
149,2974.0,1727.0,1322.0,1139.0
150,3442.0,1983.0,1559.0,1233.0
151,2996.0,1825.0,1438.0,1241.0
152,3020.0,1761.0,1382.0,1216.0
