,capacity_1,capacity_2,capacity_3,capacity_4
0,1828,1145.0,1118.0,1051.0
1,2156,1311.0,1115.0,968.0
2,2334,1392.0,1163.0,1209.0
3,848,530.0,550.0,522.0
4,1398,862.0,747.0,704.0
5,1174,807.0,728.0,738.0
6,1648,1072.0,936.0,901.0
7,2002,1250.0,950.0,899.0
8,1082,704.0,636.0,594.0
9,1404,855.0,775.0,785.0
10,1808,1098.0,1021.0,795.0
11,1298,800.0,713.0,726.0
12,1376,913.0,776.0,770.0
13,1844,1121.0,1081.0,957.0
14,1732,1024.0,956.0,921.0
15,1336,856.0,704.0,676.0
16,1602,978.0,958.0,895.0
17,1694,988.0,1036.0,925.0
18,1440,904.0,838.0,893.0
19,1280,821.0,713.0,709.0
20,1604,959.0,917.0,868.0
21,1488,952.0,782.0,711.0
22,1746,1080.0,974.0,893.0
23,2274,1362.0,1258.0,1124.0
24,1288,793.0,756.0,692.0
25,1768,1075.0,947.0,754.0
26,1734,1085.0,962.0,890.0
27,1760,1134.0,982.0,1006.0
28,1664,979.0,936.0,871.0
29,1752,1122.0,988.0,951.0
30,1856,1125.0,1065.0,966.0
31,1810,1055.0,946.0,857.0
32,1320,825.0,688.0,690.0
33,1480,930.0,845.0,870.0
34,1650,1107.0,994.0,975.0
35,1210,712.0,714.0,729.0
36,2124,1226.0,1116.0,985.0
37,1590,985.0,877.0,867.0
38,1188,795.0,801.0,723.0
39,1978,1151.0,1085.0,1071.0
40,1916,1174.0,979.0,973.0
41,1290,840.0,818.0,754.0
42,1954,1184.0,959.0,913.0
43,1616,974.0,897.0,817.0
44,1988,1237.0,1008.0,1027.0
45,2472,1480.0,1261.0,1094.0
46,1002,660.0,632.0,518.0
47,1790,1200.0,942.0,892.0
48,1942,1152.0,1120.0,998.0
49,1644,1011.0,884.0,780.0
50,1846,1056.0,998.0,999.0
51,1800,1147.0,894.0,742.0
52,1570,972.0,828.0,836.0
53,1888,1225.0,1105.0,989.0
54,1542,931.0,890.0,896.0
55,1264,749.0,741.0,729.0
56,1366,878.0,807.0,681.0
57,940,631.0,614.0,542.0
58,788,523.0,481.0,460.0
59,2058,1280.0,1190.0,1078.0
60,1304,792.0,765.0,693.0
61,1270,833.0,686.0,676.0
62,1676,1053.0,894.0,833.0
63,2678,1595.0,1433.0,1304.0
64,1572,907.0,848.0,730.0
65,1908,1224.0,1089.0,1000.0
66,2162,1302.0,1213.0,1153.0
67,1460,958.0,879.0,809.0
68,1340,863.0,788.0,755.0
69,1096,743.0,666.0,627.0
70,1156,799.0,658.0,688.0
71,1944,1233.0,1143.0,1107.0
72,1666,1019.0,981.0,922.0
73,1834,1172.0,1041.0,929.0
74,1690,1065.0,994.0,964.0
75,884,579.0,498.0,483.0
76,1222,830.0,727.0,675.0
77,1694,1070.0,994.0,984.0
78,964,642.0,602.0,597.0
79,1900,1162.0,992.0,878.0
80,1880,1184.0,1114.0,949.0
81,992,655.0,655.0,684.0
82,2302,1358.0,1236.0,1116.0
83,2012,1187.0,1013.0,869.0
84,2184,1276.0,1118.0,1035.0
85,1460,965.0,872.0,783.0
86,1630,1012.0,815.0,792.0
87,1970,1229.0,1042.0,995.0
88,1852,1182.0,985.0,851.0
89,2002,1190.0,1121.0,1019.0
90,1154,656.0,652.0,600.0
91,1566,1038.0,945.0,865.0
92,1420,852.0,831.0,789.0
93,1990,1268.0,1085.0,1032.0
94,1242,799.0,763.0,736.0
95,2000,1201.0,1000.0,862.0
96,1324,837.0,793.0,679.0
97,1696,1000.0,884.0,820.0
98,1254,816.0,749.0,724.0
99,1962,1171.0,1023.0,971.0
