,capacity_1,capacity_2,capacity_3,capacity_4
331,1210.0,794.0,628.0,570.0
332,1456.0,894.0,753.0,675.0
333,1224.0,798.0,648.0,524.0
334,1176.0,724.0,593.0,564.0
335,1700.0,1065.0,890.0,775.0
336,1342.0,870.0,715.0,637.0
337,1184.0,737.0,634.0,565.0
338,1576.0,990.0,791.0,688.0
339,1502.0,923.0,767.0,664.0
340,1366.0,795.0,692.0,612.0
341,1250.0,837.0,712.0,626.0
342,982.0,657.0,527.0,469.0
343,1054.0,705.0,603.0,539.0
344,1662.0,1051.0,820.0,708.0
345,1286.0,809.0,704.0,621.0
346,1126.0,743.0,580.0,522.0
347,912.0,612.0,477.0,435.0
348,1340.0,849.0,699.0,639.0
349,1360.0,854.0,708.0,636.0
350,1118.0,712.0,632.0,569.0
351,1400.0,880.0,770.0,699.0
352,1270.0,838.0,718.0,654.0
353,1710.0,1096.0,905.0,823.0
354,1322.0,830.0,735.0,637.0
355,1242.0,790.0,689.0,599.0
356,1270.0,788.0,712.0,573.0
357,1510.0,935.0,780.0,689.0
358,1194.0,773.0,640.0,590.0
359,1138.0,706.0,585.0,544.0
360,990.0,660.0,601.0,536.0
361,1348.0,805.0,667.0,597.0
362,1574.0,1039.0,869.0,798.0
363,1020.0,676.0,583.0,530.0
364,1078.0,735.0,601.0,559.0
365,1366.0,903.0,782.0,668.0
366,1560.0,1040.0,857.0,775.0
367,1350.0,879.0,701.0,621.0
368,1058.0,650.0,562.0,516.0
369,1180.0,750.0,603.0,553.0
370,1254.0,790.0,645.0,607.0
371,846.0,536.0,431.0,395.0
372,1056.0,716.0,581.0,517.0
373,1162.0,721.0,516.0,464.0
374,1266.0,822.0,667.0,620.0
375,1284.0,775.0,639.0,583.0
376,1368.0,832.0,665.0,595.0
377,1168.0,729.0,574.0,538.0
378,1258.0,850.0,681.0,634.0
379,1228.0,802.0,675.0,585.0
380,1246.0,765.0,636.0,561.0
381,1262.0,855.0,730.0,654.0
382,1142.0,774.0,648.0,580.0
383,1660.0,1026.0,804.0,722.0
384,920.0,658.0,596.0,570.0
385,1396.0,904.0,736.0,662.0
386,1626.0,1019.0,849.0,749.0
387,870.0,577.0,476.0,438.0
388,986.0,668.0,565.0,533.0
389,1368.0,919.0,803.0,729.0
390,998.0,682.0,589.0,546.0
391,1020.0,654.0,538.0,484.0
392,1284.0,792.0,715.0,600.0
393,964.0,641.0,547.0,488.0
394,1082.0,710.0,604.0,562.0
395,1636.0,998.0,857.0,725.0
396,1050.0,665.0,566.0,506.0
397,1510.0,955.0,807.0,668.0
398,1342.0,868.0,732.0,637.0
399,884.0,552.0,480.0,415.0
400,1132.0,723.0,572.0,520.0
401,1348.0,815.0,697.0,600.0
402,1138.0,697.0,584.0,524.0
403,1244.0,814.0,729.0,679.0
404,952.0,605.0,513.0,475.0
405,1536.0,969.0,811.0,766.0
406,1412.0,838.0,653.0,551.0
407,956.0,606.0,499.0,443.0
408,1310.0,858.0,710.0,641.0
409,976.0,612.0,517.0,469.0
410,1502.0,884.0,739.0,606.0
411,1148.0,753.0,632.0,589.0
412,1362.0,918.0,723.0,677.0
413,1086.0,671.0,558.0,491.0
414,970.0,616.0,485.0,449.0
415,1500.0,943.0,825.0,726.0
416,918.0,609.0,529.0,478.0
417,1408.0,915.0,744.0,646.0
418,788.0,516.0,441.0,409.0
419,1378.0,861.0,725.0,631.0
420,1720.0,1081.0,799.0,691.0
421,1190.0,756.0,684.0,562.0
422,1202.0,797.0,672.0,605.0
423,1400.0,878.0,701.0,649.0
424,1006.0,669.0,548.0,489.0
425,964.0,621.0,520.0,485.0
426,1358.0,839.0,710.0,591.0
427,866.0,567.0,501.0,446.0
428,1142.0,718.0,608.0,527.0
429,1722.0,1077.0,819.0,699.0
430,1420.0,895.0,744.0,666.0
431,1130.0,794.0,662.0,600.0
432,1024.0,652.0,562.0,500.0
433,886.0,570.0,484.0,430.0
434,1276.0,773.0,670.0,556.0
435,1466.0,870.0,734.0,621.0
436,1044.0,660.0,542.0,486.0
437,1458.0,933.0,765.0,687.0
438,1620.0,1037.0,800.0,739.0
439,896.0,551.0,463.0,418.0
440,1696.0,1035.0,857.0,724.0
441,1150.0,715.0,603.0,540.0
442,1554.0,994.0,808.0,709.0
443,1276.0,808.0,678.0,570.0
444,1188.0,744.0,658.0,569.0
445,1340.0,845.0,688.0,619.0
446,1148.0,785.0,640.0,592.0
447,1584.0,952.0,761.0,682.0
448,1238.0,859.0,683.0,625.0
449,1622.0,1041.0,841.0,804.0
450,1188.0,746.0,627.0,555.0
451,1574.0,983.0,812.0,718.0
452,1004.0,587.0,499.0,435.0
453,1340.0,830.0,727.0,625.0
454,1482.0,914.0,768.0,670.0
455,1188.0,733.0,584.0,529.0
456,1486.0,907.0,724.0,637.0
457,1198.0,752.0,635.0,577.0
458,1388.0,889.0,690.0,603.0
459,1026.0,650.0,549.0,488.0
460,944.0,613.0,505.0,474.0
461,1050.0,656.0,525.0,443.0
462,1452.0,919.0,780.0,690.0
463,1574.0,982.0,799.0,688.0
464,1234.0,808.0,620.0,600.0
465,1338.0,777.0,625.0,523.0
466,1050.0,688.0,575.0,519.0
467,1424.0,925.0,822.0,764.0
468,1306.0,836.0,686.0,621.0
469,1440.0,939.0,740.0,664.0
470,1352.0,939.0,821.0,746.0
471,1024.0,673.0,560.0,492.0
472,1106.0,724.0,601.0,510.0
473,1310.0,800.0,659.0,584.0
474,1148.0,798.0,690.0,650.0
475,1028.0,697.0,570.0,509.0
476,1216.0,804.0,656.0,573.0
477,1298.0,783.0,631.0,543.0
478,960.0,616.0,528.0,481.0
479,1436.0,900.0,740.0,680.0
480,1500.0,1004.0,791.0,735.0
481,996.0,668.0,592.0,533.0
482,1222.0,763.0,630.0,529.0
483,1506.0,960.0,815.0,690.0
484,1614.0,994.0,766.0,700.0
485,1374.0,895.0,763.0,721.0
486,1012.0,710.0,625.0,596.0
487,970.0,654.0,530.0,494.0
488,1038.0,684.0,569.0,523.0
489,1312.0,875.0,721.0,657.0
490,1410.0,867.0,752.0,628.0
491,1208.0,778.0,621.0,560.0
492,1500.0,937.0,790.0,678.0
493,1516.0,937.0,726.0,671.0
494,1080.0,706.0,610.0,553.0
495,1326.0,856.0,701.0,615.0
496,1438.0,946.0,804.0,700.0
497,898.0,585.0,511.0,477.0
498,884.0,624.0,528.0,489.0
499,1156.0,756.0,601.0,539.0
500,1232.0,824.0,713.0,650.0
501,1408.0,916.0,770.0,704.0
502,1460.0,929.0,765.0,682.0
503,1234.0,815.0,655.0,587.0
504,1000.0,627.0,522.0,455.0
505,1484.0,911.0,784.0,693.0
506,1312.0,829.0,684.0,598.0
507,750.0,498.0,412.0,374.0
508,1252.0,765.0,629.0,567.0
509,1374.0,852.0,760.0,654.0
510,1150.0,708.0,572.0,525.0
511,1134.0,723.0,542.0,488.0
512,1130.0,743.0,575.0,549.0
513,1366.0,843.0,701.0,610.0
514,1196.0,776.0,657.0,595.0
515,1438.0,935.0,770.0,714.0
516,950.0,666.0,576.0,534.0
517,888.0,597.0,506.0,453.0
518,1334.0,914.0,798.0,728.0
519,1382.0,904.0,727.0,663.0
520,1484.0,929.0,787.0,690.0
521,1158.0,720.0,572.0,506.0
522,1162.0,819.0,721.0,682.0
523,1508.0,885.0,691.0,580.0
524,1174.0,784.0,604.0,574.0
525,1566.0,1004.0,779.0,689.0
526,1106.0,737.0,645.0,550.0
527,1142.0,748.0,621.0,581.0
528,1344.0,857.0,699.0,627.0
529,994.0,699.0,601.0,575.0
530,946.0,612.0,518.0,473.0
531,1356.0,865.0,641.0,599.0
532,1242.0,825.0,721.0,645.0
533,898.0,560.0,467.0,388.0
534,1390.0,922.0,792.0,704.0
535,1324.0,894.0,730.0,649.0
536,1624.0,1014.0,834.0,717.0
537,1194.0,732.0,612.0,508.0
538,974.0,647.0,515.0,472.0
539,1120.0,734.0,632.0,553.0
540,1492.0,962.0,818.0,707.0
541,1430.0,926.0,748.0,659.0
542,1206.0,742.0,610.0,536.0
543,1216.0,813.0,675.0,595.0
544,1410.0,852.0,745.0,643.0
545,1558.0,912.0,781.0,629.0
546,1202.0,749.0,618.0,537.0
547,1212.0,777.0,675.0,615.0
548,1428.0,848.0,730.0,657.0
549,1126.0,706.0,599.0,530.0
550,1092.0,705.0,580.0,535.0
551,1464.0,956.0,756.0,664.0
552,1002.0,656.0,509.0,474.0
553,1394.0,905.0,710.0,638.0
554,1120.0,743.0,644.0,573.0
555,1360.0,847.0,677.0,602.0
556,1550.0,982.0,727.0,670.0
557,1062.0,705.0,609.0,556.0
558,1454.0,873.0,746.0,604.0
559,1558.0,975.0,805.0,702.0
560,1302.0,766.0,656.0,502.0
561,1310.0,835.0,720.0,638.0
562,1354.0,868.0,759.0,674.0
563,1326.0,824.0,665.0,608.0
564,1456.0,1001.0,792.0,723.0
565,1102.0,692.0,567.0,525.0
566,1372.0,830.0,693.0,586.0
567,1202.0,750.0,624.0,546.0
568,1382.0,879.0,770.0,653.0
569,1140.0,777.0,649.0,585.0
570,1100.0,651.0,588.0,501.0
571,1072.0,693.0,556.0,482.0
572,1328.0,848.0,697.0,634.0
573,1240.0,754.0,621.0,589.0
574,1090.0,733.0,621.0,568.0
575,1256.0,814.0,672.0,596.0
576,936.0,630.0,553.0,509.0
577,1118.0,741.0,610.0,556.0
578,1508.0,882.0,720.0,639.0
579,1292.0,838.0,650.0,592.0
580,1432.0,879.0,694.0,592.0
581,910.0,588.0,458.0,429.0
582,1286.0,788.0,621.0,563.0
583,1416.0,828.0,659.0,532.0
584,1068.0,692.0,558.0,503.0
585,1334.0,861.0,701.0,632.0
586,1484.0,887.0,782.0,691.0
587,1336.0,867.0,706.0,624.0
588,1562.0,1029.0,846.0,773.0
589,1146.0,686.0,520.0,459.0
590,1232.0,818.0,697.0,615.0
591,1350.0,831.0,734.0,616.0
592,1280.0,781.0,675.0,564.0
593,1508.0,920.0,777.0,665.0
594,1128.0,719.0,574.0,535.0
595,1380.0,870.0,694.0,622.0
596,1312.0,857.0,675.0,611.0
597,1432.0,929.0,744.0,646.0
598,1356.0,870.0,652.0,587.0
599,1546.0,927.0,766.0,672.0
600,1102.0,724.0,629.0,556.0
601,1140.0,720.0,546.0,482.0
602,1102.0,702.0,578.0,511.0
603,1086.0,718.0,588.0,544.0
604,1236.0,854.0,722.0,655.0
605,1286.0,790.0,652.0,554.0
606,1354.0,827.0,670.0,583.0
607,1064.0,706.0,613.0,555.0
608,1044.0,677.0,560.0,489.0
609,1312.0,854.0,673.0,618.0
610,1410.0,841.0,669.0,575.0
611,1062.0,723.0,596.0,563.0
612,1420.0,925.0,758.0,701.0
613,1116.0,736.0,591.0,552.0
614,1074.0,679.0,576.0,514.0
615,1358.0,826.0,665.0,558.0
616,1246.0,782.0,661.0,604.0
617,1138.0,773.0,653.0,592.0
618,954.0,679.0,613.0,567.0
619,894.0,596.0,510.0,443.0
620,1522.0,971.0,788.0,704.0
621,1288.0,797.0,659.0,601.0
622,1228.0,760.0,613.0,549.0
623,1630.0,1061.0,864.0,789.0
624,1432.0,899.0,726.0,644.0
625,1082.0,696.0,590.0,517.0
626,1214.0,766.0,626.0,572.0
627,1328.0,847.0,705.0,599.0
628,1162.0,734.0,597.0,531.0
629,852.0,532.0,475.0,452.0
630,1286.0,802.0,686.0,583.0
631,1162.0,692.0,570.0,528.0
632,1194.0,789.0,696.0,645.0
633,1526.0,929.0,713.0,603.0
634,1312.0,789.0,670.0,584.0
635,1350.0,882.0,706.0,645.0
636,1516.0,984.0,812.0,719.0
637,1052.0,698.0,602.0,531.0
638,1398.0,854.0,680.0,576.0
639,1068.0,745.0,615.0,580.0
640,1228.0,815.0,695.0,631.0
641,1134.0,751.0,638.0,564.0
642,1198.0,805.0,722.0,657.0
643,1062.0,679.0,553.0,522.0
644,1154.0,715.0,571.0,532.0
645,1022.0,642.0,518.0,473.0
646,1274.0,853.0,687.0,634.0
647,1350.0,860.0,683.0,611.0
648,1452.0,955.0,740.0,672.0
649,1390.0,855.0,695.0,590.0
650,1340.0,899.0,789.0,726.0
651,1042.0,652.0,553.0,477.0
652,1188.0,754.0,613.0,535.0
653,1538.0,981.0,782.0,723.0
654,1360.0,817.0,690.0,595.0
655,1130.0,783.0,645.0,589.0
656,894.0,545.0,448.0,396.0
657,1432.0,867.0,726.0,614.0
658,1380.0,877.0,738.0,665.0
659,1548.0,982.0,792.0,691.0
660,1272.0,816.0,694.0,609.0
661,1192.0,775.0,656.0,586.0
662,1246.0,746.0,660.0,548.0
663,1174.0,725.0,636.0,582.0
664,1204.0,776.0,597.0,550.0
665,1584.0,986.0,780.0,689.0
666,1040.0,649.0,539.0,469.0
667,1480.0,891.0,737.0,656.0
668,912.0,619.0,530.0,498.0
669,1166.0,774.0,628.0,579.0
670,1354.0,840.0,681.0,588.0
671,1458.0,935.0,771.0,668.0
672,1270.0,831.0,719.0,652.0
673,1066.0,697.0,586.0,541.0
674,1366.0,890.0,681.0,619.0
675,1182.0,719.0,598.0,508.0
676,1344.0,873.0,693.0,647.0
677,1086.0,653.0,573.0,488.0
678,922.0,566.0,496.0,427.0
679,1260.0,795.0,628.0,570.0
680,1156.0,782.0,671.0,605.0
681,1430.0,905.0,691.0,640.0
682,1200.0,838.0,735.0,656.0
683,1442.0,929.0,810.0,692.0
684,1510.0,994.0,849.0,747.0
685,1850.0,1144.0,897.0,795.0
686,1460.0,958.0,780.0,696.0
687,1216.0,750.0,628.0,538.0
688,1366.0,845.0,661.0,607.0
689,1328.0,824.0,671.0,618.0
690,1338.0,857.0,639.0,588.0
691,1066.0,723.0,547.0,539.0
692,1526.0,959.0,778.0,708.0
693,1076.0,686.0,597.0,526.0
694,1084.0,712.0,613.0,564.0
695,746.0,511.0,457.0,426.0
696,1602.0,977.0,807.0,694.0
697,1048.0,708.0,598.0,526.0
698,1192.0,698.0,536.0,459.0
699,1142.0,735.0,611.0,541.0
700,1438.0,904.0,734.0,660.0
701,1160.0,705.0,590.0,511.0
702,992.0,646.0,466.0,456.0
703,1226.0,827.0,695.0,667.0
704,1602.0,974.0,791.0,690.0
705,1020.0,667.0,551.0,512.0
706,956.0,653.0,523.0,491.0
707,1172.0,718.0,590.0,555.0
708,1468.0,883.0,706.0,663.0
709,1382.0,932.0,758.0,695.0
710,1484.0,872.0,703.0,638.0
711,892.0,537.0,479.0,409.0
712,1176.0,778.0,668.0,597.0
713,1212.0,805.0,686.0,629.0
714,1216.0,802.0,684.0,603.0
715,1228.0,804.0,670.0,609.0
716,1114.0,682.0,542.0,504.0
717,1176.0,746.0,575.0,533.0
