,capacity_1,capacity_2,capacity_3,capacity_4
0,1710.0,1054.0,857.0,759.0
1,1612.0,1003.0,786.0,689.0
2,1560.0,1019.0,813.0,724.0
3,1700.0,1050.0,814.0,727.0
4,1594.0,1022.0,863.0,770.0
5,2146.0,1375.0,1119.0,1012.0
6,1688.0,1090.0,877.0,788.0
7,1484.0,938.0,782.0,678.0
8,1786.0,1095.0,867.0,761.0
9,1746.0,1099.0,844.0,792.0
10,1862.0,1146.0,928.0,814.0
11,2048.0,1235.0,957.0,892.0
12,1746.0,1070.0,861.0,775.0
13,1902.0,1154.0,904.0,772.0
14,1474.0,939.0,763.0,680.0
15,1718.0,1057.0,869.0,773.0
16,2176.0,1315.0,1090.0,954.0
17,1424.0,913.0,698.0,647.0
18,1370.0,855.0,671.0,613.0
19,1674.0,1079.0,855.0,785.0
20,1812.0,1147.0,913.0,831.0
21,1934.0,1198.0,984.0,876.0
22,1756.0,1104.0,881.0,779.0
23,1802.0,1132.0,874.0,789.0
24,2072.0,1309.0,1044.0,932.0
25,1810.0,1143.0,910.0,805.0
26,1880.0,1148.0,877.0,775.0
27,1802.0,1104.0,926.0,837.0
28,1714.0,1094.0,884.0,781.0
29,1754.0,1124.0,900.0,839.0
30,1984.0,1185.0,914.0,813.0
31,1850.0,1134.0,896.0,795.0
32,2232.0,1340.0,1106.0,958.0
33,1918.0,1155.0,951.0,845.0
34,1870.0,1115.0,879.0,749.0
35,2160.0,1308.0,997.0,862.0
36,2198.0,1367.0,1112.0,982.0
37,2336.0,1377.0,1053.0,944.0
38,1544.0,978.0,787.0,726.0
39,2012.0,1246.0,998.0,881.0
40,1708.0,1068.0,855.0,754.0
41,1968.0,1226.0,1001.0,874.0
42,1866.0,1142.0,891.0,799.0
43,2080.0,1280.0,1020.0,929.0
44,2122.0,1311.0,1033.0,906.0
45,1462.0,882.0,751.0,635.0
46,2068.0,1277.0,1034.0,928.0
47,1704.0,1066.0,897.0,809.0
48,1984.0,1226.0,957.0,836.0
49,2072.0,1250.0,1040.0,917.0
50,1700.0,1091.0,852.0,789.0
51,1718.0,1074.0,844.0,753.0
52,1430.0,874.0,687.0,591.0
53,1876.0,1155.0,952.0,830.0
54,1730.0,1073.0,896.0,771.0
55,2322.0,1435.0,1114.0,1015.0
56,1950.0,1169.0,918.0,796.0
57,2468.0,1459.0,1127.0,983.0
58,1810.0,1087.0,881.0,771.0
59,1770.0,1065.0,862.0,764.0
60,1654.0,982.0,740.0,671.0
61,1934.0,1183.0,935.0,828.0
62,1856.0,1101.0,906.0,763.0
63,1530.0,952.0,750.0,671.0
64,1926.0,1192.0,954.0,843.0
65,1924.0,1190.0,928.0,838.0
66,2184.0,1334.0,1007.0,941.0
67,1488.0,913.0,751.0,684.0
68,1764.0,1079.0,859.0,742.0
69,1708.0,1044.0,822.0,712.0
70,1678.0,1062.0,795.0,710.0
71,2304.0,1410.0,1100.0,954.0
72,1786.0,1086.0,876.0,733.0
73,2068.0,1256.0,981.0,866.0
74,1618.0,1062.0,886.0,802.0
75,2086.0,1297.0,1036.0,912.0
76,1878.0,1194.0,1002.0,915.0
77,1558.0,1001.0,781.0,710.0
78,2252.0,1335.0,1076.0,919.0
79,1764.0,1092.0,872.0,756.0
80,1654.0,1058.0,856.0,763.0
81,1536.0,947.0,810.0,699.0
