,capacity_1,capacity_2,capacity_3,capacity_4
0,2658.0,1639.0,1409.0,1372.0
1,2690.0,1636.0,1360.0,1201.0
2,2480.0,1442.0,1259.0,1102.0
3,2076.0,1265.0,1169.0,1089.0
4,2232.0,1419.0,1243.0,1236.0
5,2188.0,1309.0,1092.0,1074.0
6,2754.0,1667.0,1477.0,1358.0
7,2922.0,1712.0,1428.0,1264.0
8,3118.0,1912.0,1649.0,1631.0
9,2252.0,1343.0,1212.0,1139.0
10,2872.0,1769.0,1577.0,1444.0
11,2334.0,1417.0,1271.0,1187.0
12,2782.0,1672.0,1353.0,1244.0
13,2120.0,1323.0,1268.0,1220.0
14,2120.0,1336.0,1242.0,1137.0
15,2520.0,1505.0,1294.0,1189.0
16,1944.0,1205.0,1028.0,956.0
17,2356.0,1447.0,1276.0,1219.0
18,2524.0,1472.0,1308.0,1233.0
19,2100.0,1268.0,1136.0,1034.0
20,2092.0,1302.0,1261.0,1174.0
21,2472.0,1480.0,1344.0,1247.0
22,2410.0,1469.0,1278.0,1198.0
23,2392.0,1458.0,1277.0,1078.0
24,2522.0,1489.0,1381.0,1307.0
25,2404.0,1403.0,1188.0,1053.0
26,2706.0,1598.0,1437.0,1274.0
27,2500.0,1494.0,1308.0,1194.0
28,1744.0,1068.0,1049.0,930.0
29,2604.0,1578.0,1341.0,1331.0
30,2398.0,1457.0,1289.0,1126.0
31,2604.0,1560.0,1331.0,1161.0
32,1930.0,1200.0,1122.0,988.0
33,2722.0,1620.0,1444.0,1293.0
34,2404.0,1458.0,1254.0,1147.0
35,2214.0,1374.0,1125.0,1042.0
36,3014.0,1817.0,1433.0,1278.0
37,2358.0,1407.0,1170.0,1095.0
38,2302.0,1413.0,1265.0,1108.0
39,2202.0,1336.0,1140.0,1066.0
40,1802.0,1108.0,1007.0,1009.0
41,2166.0,1304.0,1106.0,1008.0
42,3098.0,1790.0,1639.0,1527.0
43,2766.0,1655.0,1498.0,1370.0
44,2692.0,1693.0,1529.0,1335.0
45,2268.0,1348.0,1253.0,1094.0
46,2164.0,1341.0,1179.0,1106.0
47,2170.0,1309.0,1250.0,1113.0
48,2204.0,1345.0,1266.0,1201.0
49,2122.0,1308.0,1120.0,1030.0
50,2428.0,1434.0,1378.0,1266.0
51,2220.0,1360.0,1188.0,1203.0
52,2566.0,1516.0,1361.0,1242.0
53,2636.0,1562.0,1264.0,1182.0
54,2516.0,1520.0,1305.0,1257.0
55,2224.0,1337.0,1197.0,1075.0
56,2088.0,1297.0,1125.0,1033.0
57,2482.0,1502.0,1267.0,1107.0
58,2682.0,1556.0,1363.0,1188.0
59,2082.0,1289.0,1088.0,985.0
60,2812.0,1662.0,1466.0,1287.0
61,2666.0,1544.0,1373.0,1221.0
62,2590.0,1550.0,1340.0,1311.0
63,2066.0,1292.0,1146.0,1063.0
64,2660.0,1565.0,1440.0,1319.0
65,2554.0,1517.0,1428.0,1260.0
66,2390.0,1456.0,1353.0,1212.0
67,2370.0,1390.0,1289.0,1141.0
68,2670.0,1611.0,1387.0,1210.0
69,2582.0,1520.0,1367.0,1151.0
70,2554.0,1560.0,1478.0,1380.0
71,2354.0,1397.0,1175.0,1193.0
72,2238.0,1353.0,1239.0,1166.0
73,2582.0,1581.0,1354.0,1261.0
74,2672.0,1506.0,1336.0,1182.0
75,2428.0,1426.0,1279.0,1070.0
76,2644.0,1557.0,1280.0,1285.0
77,2352.0,1465.0,1277.0,1131.0
78,2736.0,1619.0,1372.0,1282.0
79,2118.0,1372.0,1218.0,1033.0
80,2566.0,1563.0,1304.0,1234.0
81,2048.0,1279.0,1166.0,1110.0
82,2138.0,1334.0,1119.0,1054.0
83,2512.0,1512.0,1412.0,1299.0
84,2260.0,1374.0,1176.0,1124.0
85,2230.0,1415.0,1264.0,1146.0
86,3006.0,1817.0,1467.0,1438.0
87,2640.0,1531.0,1420.0,1213.0
88,2764.0,1720.0,1540.0,1385.0
89,2538.0,1579.0,1390.0,1272.0
90,2254.0,1354.0,1165.0,1077.0
91,2294.0,1413.0,1281.0,1175.0
92,2524.0,1469.0,1288.0,1129.0
93,2166.0,1266.0,1063.0,986.0
94,2548.0,1571.0,1323.0,1248.0
95,2328.0,1377.0,1251.0,1064.0
96,2370.0,1453.0,1259.0,1194.0
97,2662.0,1594.0,1375.0,1238.0
98,2490.0,1495.0,1249.0,1160.0
99,2536.0,1512.0,1392.0,1285.0
100,2688.0,1632.0,1456.0,1358.0
101,2802.0,1649.0,1499.0,1329.0
102,2526.0,1509.0,1350.0,1222.0
103,1724.0,1046.0,949.0,863.0
104,2102.0,1293.0,1088.0,1003.0
105,2526.0,1533.0,1370.0,1193.0
106,2344.0,1400.0,1198.0,1122.0
107,2066.0,1298.0,1108.0,1063.0
108,2330.0,1420.0,1180.0,1171.0
109,2226.0,1365.0,1168.0,1086.0
110,2702.0,1664.0,1411.0,1329.0
111,2316.0,1421.0,1260.0,1158.0
112,2080.0,1197.0,1082.0,1030.0
113,1678.0,1047.0,965.0,864.0
114,2354.0,1393.0,1205.0,1132.0
115,2244.0,1371.0,1200.0,1065.0
116,2598.0,1544.0,1319.0,1242.0
117,2702.0,1576.0,1359.0,1269.0
118,2622.0,1503.0,1372.0,1221.0
119,1984.0,1270.0,1143.0,1059.0
120,2512.0,1479.0,1219.0,1193.0
121,2424.0,1468.0,1349.0,1229.0
122,2288.0,1407.0,1241.0,1165.0
123,2684.0,1568.0,1306.0,1184.0
124,2452.0,1534.0,1385.0,1290.0
125,2706.0,1675.0,1393.0,1383.0
126,2358.0,1441.0,1310.0,1141.0
127,2586.0,1594.0,1345.0,1234.0
128,2072.0,1247.0,1053.0,919.0
129,2172.0,1351.0,1186.0,1128.0
130,2302.0,1397.0,1147.0,1033.0
131,2534.0,1466.0,1328.0,1090.0
132,2634.0,1607.0,1296.0,1246.0
133,2538.0,1564.0,1332.0,1295.0
134,2786.0,1612.0,1399.0,1146.0
135,2536.0,1500.0,1278.0,1148.0
136,2552.0,1509.0,1256.0,1096.0
137,2258.0,1365.0,1209.0,1167.0
138,2424.0,1404.0,1239.0,1125.0
139,2478.0,1467.0,1205.0,1064.0
140,2246.0,1375.0,1241.0,1238.0
141,2890.0,1743.0,1423.0,1301.0
142,2392.0,1485.0,1387.0,1294.0
143,2808.0,1689.0,1451.0,1276.0
144,2302.0,1375.0,1208.0,1071.0
145,2278.0,1429.0,1165.0,1059.0
146,2628.0,1542.0,1259.0,1185.0
147,2596.0,1572.0,1346.0,1255.0
148,2686.0,1593.0,1331.0,1276.0
149,2464.0,1438.0,1361.0,1216.0
150,1910.0,1198.0,1048.0,942.0
151,2516.0,1439.0,1250.0,1144.0
152,2120.0,1306.0,1228.0,1093.0
153,2366.0,1437.0,1256.0,1160.0
154,2390.0,1507.0,1255.0,1222.0
155,2432.0,1573.0,1352.0,1257.0
156,2084.0,1331.0,1158.0,1099.0
157,2344.0,1440.0,1209.0,1100.0
158,2422.0,1522.0,1272.0,1156.0
159,2456.0,1457.0,1299.0,1145.0
160,2906.0,1715.0,1407.0,1239.0
161,2356.0,1431.0,1291.0,1304.0
162,2110.0,1262.0,1117.0,1004.0
163,2570.0,1602.0,1427.0,1344.0
164,3016.0,1807.0,1479.0,1355.0
165,2942.0,1710.0,1418.0,1235.0
166,2948.0,1774.0,1533.0,1451.0
167,1876.0,1155.0,1092.0,988.0
