scenario,day,number,add_time_min,add_time_1Q,add_time_median,add_time_3Q,add_time_max,add_time_total
0,0,2,31,31.0,31.0,31.0,31,62
0,1,2,31,31.0,31.0,31.0,31,62
0,2,2,31,31.0,31.0,31.0,31,62
0,3,2,31,31.0,31.0,31.0,31,62
0,4,2,31,31.0,31.0,31.0,31,62
0,5,2,31,31.0,31.0,31.0,31,62
0,6,2,31,31.0,31.0,31.0,31,62
0,7,2,31,31.0,31.0,31.0,31,62
0,8,2,31,31.0,31.0,31.0,31,62
0,9,2,31,31.0,31.0,31.0,31,62
0,10,2,31,31.0,31.0,31.0,31,62
0,11,2,31,31.0,31.0,31.0,31,62
0,12,2,31,31.0,31.0,31.0,31,62
0,13,2,31,31.0,31.0,31.0,31,62
0,14,2,31,31.0,31.0,31.0,31,62
0,15,2,31,31.0,31.0,31.0,31,62
0,16,2,31,31.0,31.0,31.0,31,62
0,17,2,31,31.0,31.0,31.0,31,62
0,18,2,31,31.0,31.0,31.0,31,62
0,19,2,31,31.0,31.0,31.0,31,62
0,20,2,31,31.0,31.0,31.0,31,62
0,21,2,31,31.0,31.0,31.0,31,62
0,22,2,31,31.0,31.0,31.0,31,62
0,23,2,31,31.0,31.0,31.0,31,62
0,24,2,31,31.0,31.0,31.0,31,62
0,25,2,31,31.0,31.0,31.0,31,62
0,26,2,31,31.0,31.0,31.0,31,62
0,27,3,7,19.0,31.0,31.0,31,69
0,28,3,7,19.0,31.0,31.0,31,69
0,29,3,7,19.0,31.0,31.0,31,69
0,30,4,-4,4.25,19.0,31.0,31,65
0,31,4,-4,4.25,19.0,31.0,31,65
0,32,7,-5,0.5,7.0,31.0,46,111
0,33,11,-5,6.0,31.0,41.0,49,265
0,34,13,-5,5.0,23.0,40.0,49,283
0,35,13,-5,5.0,23.0,40.0,49,283
0,36,12,-4,6.0,20.0,43.0,49,287
0,37,16,-4,12.75,21.0,40.5,49,373
0,38,18,-4,6.25,21.0,41.5,52,422
0,39,17,-4,16.0,23.0,46.0,52,427
0,40,20,-4,13.5,23.0,43.0,52,489
0,41,22,-4,8.5,23.0,46.0,54,562
0,42,26,-4,5.25,21.0,46.0,54,615
0,43,29,-5,3.0,19.0,46.0,54,630
0,44,33,-5,0.0,18.0,36.0,54,633
0,45,31,-5,-1.0,13.0,28.5,54,519
0,46,32,-6,-2.25,6.0,24.0,54,431
0,47,33,-6,-3.0,6.0,27.0,54,456
0,48,39,-6,-1.0,10.0,28.5,54,583
0,49,47,-6,-1.0,10.0,28.5,54,719
0,50,58,-58,-3.0,8.5,26.5,54,608
0,51,65,-58,-3.0,7.0,24.0,54,697
0,52,68,-58,-3.0,8.5,27.25,62,889
0,53,63,-58,-3.0,14.0,26.0,62,842
0,54,58,-58,-3.0,15.0,24.75,62,752
0,55,60,-58,-3.0,13.5,26.25,62,761
0,56,58,-30,-2.75,13.5,27.0,58,787
0,57,56,-30,-2.0,15.0,29.0,58,863
0,58,55,-30,1.5,17.0,31.0,58,888
0,59,57,-30,3.0,19.0,29.0,85,978
0,60,57,-30,3.0,19.0,35.0,85,1043
0,61,57,-30,1.0,17.0,29.0,85,971
0,62,55,-30,-2.0,16.0,26.5,85,886
0,63,53,-30,-4.0,16.0,27.0,85,831
0,64,63,-30,2.5,23.0,46.5,101,1552
0,65,66,-30,2.25,23.5,46.75,58,1572
0,66,61,-30,10.0,24.0,47.0,58,1471
0,67,65,-58,3.0,23.0,47.0,56,1421
0,68,59,-58,2.5,19.0,45.0,54,1208
0,69,61,-58,-2.0,18.0,36.0,54,1158
0,70,64,-58,-3.0,16.5,35.0,54,1052
0,71,61,-58,-3.0,16.0,28.0,54,889
0,72,53,-58,-3.0,12.0,30.0,50,790
0,73,42,-58,-2.25,14.5,30.75,50,647
0,74,39,-58,-3.0,7.0,27.5,50,465
0,75,35,-58,-2.5,10.0,27.5,50,446
0,76,35,-58,-1.0,10.0,25.5,52,429
0,77,31,-58,-1.0,10.0,25.5,52,372
0,78,32,-5,4.25,21.5,37.5,52,672
0,79,35,-5,3.0,21.0,42.0,58,779
0,80,32,-5,1.5,21.0,43.0,58,702
0,81,28,-5,2.0,21.0,46.5,58,645
0,82,27,-5,3.0,21.0,44.0,58,587
0,83,25,-5,4.0,19.0,28.0,58,509
0,84,22,-5,3.5,20.0,30.25,58,457
0,85,20,-5,4.5,20.0,33.75,52,416
0,86,18,-5,3.0,17.0,39.25,52,371
0,87,16,-5,3.0,17.0,28.0,52,308
0,88,13,-5,0.0,9.0,27.0,52,220
0,89,13,-5,0.0,12.0,27.0,58,227
0,90,12,-4,2.25,10.5,27.0,58,191
0,91,12,-4,2.25,10.5,27.0,58,191
0,92,12,-4,2.25,9.5,16.5,58,174
0,93,13,-4,3.0,12.0,27.0,58,245
0,94,13,-4,3.0,10.0,24.0,47,183
0,95,11,-4,-0.5,12.0,22.0,47,144
