scenario,day,negative,positive,recovered,inpatient,died,total,unallocated
0,0,521,0,0,0,0,521,0
0,1,521,0,0,0,0,521,0
0,2,521,0,0,0,0,521,0
0,3,521,0,0,0,0,521,0
0,4,520,1,0,0,0,521,0
0,5,520,1,0,0,0,521,0
0,6,520,1,0,0,0,521,0
0,7,520,1,0,0,0,521,0
0,8,520,0,0,1,0,521,0
0,9,520,0,0,1,0,521,0
0,10,520,0,0,1,0,521,0
0,11,520,0,0,1,0,521,0
0,12,520,0,0,1,0,521,0
0,13,520,0,0,1,0,521,0
0,14,519,1,0,1,0,521,0
0,15,519,1,0,1,0,521,0
0,16,517,3,0,1,0,521,0
0,17,517,3,0,1,0,521,0
0,18,517,2,0,2,0,521,0
0,19,517,2,0,2,0,521,0
0,20,517,1,1,2,0,521,0
0,21,517,1,1,2,0,521,0
0,22,517,1,1,2,0,521,0
0,23,517,1,1,2,0,521,0
0,24,517,1,1,2,0,521,0
0,25,515,3,1,2,0,521,0
0,26,514,3,3,1,0,521,0
0,27,512,5,3,1,0,521,0
0,28,512,5,3,1,0,521,0
0,29,512,4,4,1,0,521,0
0,30,511,5,4,1,0,521,0
0,31,509,7,4,1,0,521,0
0,32,508,8,4,1,0,521,0
0,33,508,6,4,2,1,521,0
0,34,507,6,5,2,1,521,0
0,35,506,7,5,2,1,521,0
0,36,505,7,5,3,1,521,0
0,37,505,7,5,3,1,521,0
0,38,498,12,5,4,2,521,0
0,39,491,18,6,4,2,521,0
0,40,487,21,6,5,2,521,0
0,41,479,29,6,4,3,521,0
0,42,472,33,7,6,3,521,0
0,43,466,36,7,9,3,521,0
0,44,456,43,7,12,3,521,0
0,45,447,47,8,16,3,521,0
0,46,442,45,10,21,3,521,0
0,47,437,45,13,23,3,521,0
0,48,430,46,14,28,3,521,0
0,49,419,50,15,34,3,521,0
0,50,413,55,16,33,4,521,0
0,51,397,63,18,39,4,521,0
0,52,388,65,25,37,6,521,0
0,53,374,67,29,45,6,521,0
0,54,367,64,32,51,7,521,0
0,55,353,67,40,54,7,521,0
0,56,342,68,49,55,7,521,0
0,57,330,72,55,57,7,521,0
0,58,321,76,63,53,8,521,0
0,59,313,68,67,64,9,521,0
0,60,301,70,70,69,11,521,0
0,61,294,67,75,72,13,521,0
0,62,282,71,84,68,16,521,0
0,63,273,74,87,69,18,521,0
0,64,262,77,92,69,21,521,0
0,65,253,74,106,67,21,521,0
0,66,236,82,115,67,21,521,0
0,67,229,79,128,63,22,521,0
0,68,225,71,137,65,23,521,0
0,69,217,64,150,66,24,521,0
0,70,206,64,158,67,26,521,0
0,71,197,66,162,66,30,521,0
0,72,190,59,173,68,31,521,0
0,73,181,59,184,63,34,521,0
0,74,176,61,193,56,35,521,0
0,75,169,64,195,57,36,521,0
0,76,160,62,204,58,37,521,0
0,77,156,54,214,58,39,521,0
0,78,151,48,220,59,43,521,0
0,79,147,47,230,54,43,521,0
0,80,141,47,240,48,45,521,0
0,81,135,47,245,49,45,521,0
0,82,130,41,255,49,46,521,0
0,83,127,35,265,48,46,521,0
0,84,123,34,271,47,46,521,0
0,85,121,27,279,47,47,521,0
0,86,119,25,285,45,47,521,0
0,87,117,23,288,45,48,521,0
0,88,114,23,296,39,49,521,0
0,89,114,19,302,36,50,521,0
0,90,112,18,309,32,50,521,0
0,91,110,18,311,32,50,521,0
0,92,109,16,315,29,52,521,0
0,93,109,12,319,28,53,521,0
0,94,109,10,325,24,53,521,0
0,95,108,8,332,20,53,521,0
0,96,107,8,335,18,53,521,0
0,97,107,6,339,16,53,521,0
0,98,107,5,343,13,53,521,0
0,99,106,3,346,13,53,521,0
0,100,106,3,347,10,55,521,0
0,101,106,3,348,9,55,521,0
0,102,105,3,350,7,56,521,0
0,103,105,2,351,7,56,521,0
0,104,105,1,355,4,56,521,0
0,105,105,1,356,3,56,521,0
0,106,104,2,356,3,56,521,0
0,107,104,2,357,2,56,521,0
0,108,104,2,357,2,56,521,0
0,109,104,2,357,2,56,521,0
0,110,104,2,357,2,56,521,0
0,111,104,2,357,2,56,521,0
0,112,104,1,357,3,56,521,0
0,113,104,1,358,2,56,521,0
0,114,104,0,359,2,56,521,0
0,115,104,0,359,1,57,521,0
0,116,104,0,359,1,57,521,0
0,117,104,0,359,1,57,521,0
0,118,104,0,359,1,57,521,0
0,119,104,0,359,1,57,521,0
