scenario,day,number,add_time_min,add_time_1Q,add_time_median,add_time_3Q,add_time_max,add_time_total
0,0,2,31,31.0,31.0,31.0,31,62
0,1,2,31,31.0,31.0,31.0,31,62
0,2,2,31,31.0,31.0,31.0,31,62
0,3,2,31,31.0,31.0,31.0,31,62
0,4,2,31,31.0,31.0,31.0,31,62
0,5,2,31,31.0,31.0,31.0,31,62
0,6,2,31,31.0,31.0,31.0,31,62
0,7,2,31,31.0,31.0,31.0,31,62
0,8,2,31,31.0,31.0,31.0,31,62
0,9,2,31,31.0,31.0,31.0,31,62
0,10,2,31,31.0,31.0,31.0,31,62
0,11,2,31,31.0,31.0,31.0,31,62
0,12,2,31,31.0,31.0,31.0,31,62
0,13,2,31,31.0,31.0,31.0,31,62
0,14,2,31,31.0,31.0,31.0,31,62
0,15,2,31,31.0,31.0,31.0,31,62
0,16,2,31,31.0,31.0,31.0,31,62
0,17,2,31,31.0,31.0,31.0,31,62
0,18,2,31,31.0,31.0,31.0,31,62
0,19,2,31,31.0,31.0,31.0,31,62
0,20,2,31,31.0,31.0,31.0,31,62
0,21,2,31,31.0,31.0,31.0,31,62
0,22,2,31,31.0,31.0,31.0,31,62
0,23,2,31,31.0,31.0,31.0,31,62
0,24,2,31,31.0,31.0,31.0,31,62
0,25,3,31,31.0,31.0,40.5,50,112
0,26,3,31,31.0,31.0,40.5,50,112
0,27,3,31,31.0,31.0,40.5,50,112
0,28,3,31,31.0,31.0,40.5,50,112
0,29,5,-5,2.0,31.0,31.0,50,109
0,30,7,-5,-2.5,2.0,31.0,50,104
0,31,8,-5,-1.25,10.0,31.0,50,122
0,32,9,-5,0.0,18.0,31.0,50,164
0,33,9,-5,-4.0,18.0,31.0,50,158
0,34,9,-5,-4.0,0.0,31.0,42,109
0,35,13,-5,-3.0,18.0,42.0,52,250
0,36,12,-4,-3.25,8.0,42.0,52,216
0,37,17,-4,-2.0,24.0,42.0,52,375
0,38,16,-4,-2.0,23.5,43.75,52,376
0,39,17,-4,0.0,23.0,36.0,52,368
0,40,18,-5,-1.5,16.5,33.25,52,319
0,41,17,-5,0.0,17.0,31.0,46,286
0,42,19,-5,7.5,17.0,32.5,46,364
0,43,19,-5,10.0,24.0,35.0,50,422
0,44,21,-4,10.0,18.0,31.0,50,436
0,45,24,-4,5.0,17.0,28.75,50,442
0,46,26,-4,3.5,16.5,24.0,50,435
0,47,35,-5,4.0,17.0,24.0,50,574
0,48,39,-5,5.0,18.0,30.5,54,803
0,49,41,-5,5.0,18.0,31.0,54,839
0,50,48,-45,4.75,20.5,35.25,54,866
0,51,59,-45,8.5,22.0,43.0,54,1282
0,52,66,-45,5.5,22.0,46.0,54,1462
0,53,69,-48,5.0,22.0,46.0,62,1475
0,54,67,-48,2.0,21.0,46.0,62,1355
0,55,69,-48,2.0,21.0,46.0,62,1447
0,56,70,-48,2.0,21.0,46.0,85,1486
0,57,73,-48,1.0,19.0,46.0,85,1445
0,58,71,-48,0.5,18.0,33.0,85,1255
0,59,66,-45,1.25,18.5,35.0,85,1230
0,60,67,-45,-0.5,10.0,29.5,85,1071
0,61,70,-45,-1.0,9.0,28.75,85,999
0,62,66,-45,-1.75,9.5,27.0,51,844
0,63,60,-45,-3.0,6.0,27.0,51,647
0,64,64,-45,-0.25,17.0,30.25,52,1100
0,65,62,-45,1.25,15.0,29.75,53,1029
0,66,64,-45,0.0,16.0,29.0,53,1009
0,67,62,-45,0.75,17.0,29.0,53,1030
0,68,58,-45,0.75,16.0,29.0,53,931
0,69,58,-45,0.75,14.5,29.0,53,893
0,70,53,-45,-2.0,7.0,29.0,52,764
0,71,59,-45,-2.5,14.0,28.5,52,877
0,72,56,-45,-2.25,14.0,28.25,52,810
0,73,53,-45,-4.0,7.0,27.0,50,571
0,74,50,-45,-4.0,5.0,27.0,50,514
0,75,48,-45,-4.0,8.5,27.0,50,544
0,76,46,-45,-4.0,6.5,27.75,50,544
0,77,42,-45,-1.0,11.0,27.75,50,542
0,78,41,-5,7.0,24.0,46.0,58,1015
0,79,39,-5,8.5,25.0,46.0,58,980
0,80,38,-5,10.5,27.0,46.0,58,997
0,81,38,-5,10.5,27.5,49.0,85,1087
0,82,34,-5,10.5,26.0,49.0,85,948
0,83,28,-5,8.5,19.5,47.0,85,731
0,84,22,-4,5.5,22.0,49.0,85,591
0,85,17,-4,4.0,30.0,50.0,85,512
0,86,17,-4,12.0,30.0,50.0,85,512
0,87,16,-4,10.0,27.0,50.0,85,470
0,88,13,-4,4.0,17.0,30.0,50,256
0,89,14,-4,3.25,16.5,28.5,50,256
0,90,13,-6,4.0,17.0,30.0,50,251
0,91,10,-6,1.75,15.5,26.75,50,154
0,92,7,-6,-1.5,15.0,16.5,30,69
0,93,5,-4,1.0,15.0,16.0,17,45
0,94,3,-4,-1.5,1.0,8.0,15,12
0,95,4,-4,-0.25,8.0,17.0,23,35
