scenario,day,negative,positive,recovered,inpatient,died,total,unallocated
0,0,521,0,0,0,0,521,0
0,1,521,0,0,0,0,521,0
0,2,521,0,0,0,0,521,0
0,3,521,0,0,0,0,521,0
0,4,521,0,0,0,0,521,0
0,5,521,0,0,0,0,521,0
0,6,521,0,0,0,0,521,0
0,7,521,0,0,0,0,521,0
0,8,521,0,0,0,0,521,0
0,9,521,0,0,0,0,521,0
0,10,521,0,0,0,0,521,0
0,11,521,0,0,0,0,521,0
0,12,521,0,0,0,0,521,0
0,13,521,0,0,0,0,521,0
0,14,521,0,0,0,0,521,0
0,15,521,0,0,0,0,521,0
0,16,521,0,0,0,0,521,0
0,17,520,1,0,0,0,521,0
0,18,520,1,0,0,0,521,0
0,19,520,1,0,0,0,521,0
0,20,520,1,0,0,0,521,0
0,21,520,0,0,1,0,521,0
0,22,520,0,0,1,0,521,0
0,23,520,0,0,1,0,521,0
0,24,520,0,0,1,0,521,0
0,25,520,0,0,1,0,521,0
0,26,518,2,0,1,0,521,0
0,27,516,4,0,1,0,521,0
0,28,516,4,0,1,0,521,0
0,29,514,6,0,1,0,521,0
0,30,513,7,0,1,0,521,0
0,31,512,8,0,1,0,521,0
0,32,509,10,0,2,0,521,0
0,33,505,13,0,3,0,521,0
0,34,502,15,1,3,0,521,0
0,35,500,15,2,4,0,521,0
0,36,497,16,2,6,0,521,0
0,37,490,21,3,6,1,521,0
0,38,488,22,3,7,1,521,0
0,39,486,21,3,10,1,521,0
0,40,480,25,3,12,1,521,0
0,41,475,27,4,13,2,521,0
0,42,468,32,6,13,2,521,0
0,43,461,34,8,15,3,521,0
0,44,454,38,9,17,3,521,0
0,45,450,35,13,20,3,521,0
0,46,443,37,13,25,3,521,0
0,47,437,40,17,24,3,521,0
0,48,426,47,17,28,3,521,0
0,49,416,57,19,26,3,521,0
0,50,406,59,24,28,4,521,0
0,51,394,67,28,26,6,521,0
0,52,383,72,32,28,6,521,0
0,53,379,64,37,34,7,521,0
0,54,367,66,43,38,7,521,0
0,55,352,72,47,43,7,521,0
0,56,342,73,51,46,9,521,0
0,57,332,75,58,45,11,521,0
0,58,321,75,63,51,11,521,0
0,59,308,81,68,52,12,521,0
0,60,302,77,76,54,12,521,0
0,61,289,77,86,57,12,521,0
0,62,277,78,92,62,12,521,0
0,63,267,73,102,67,12,521,0
0,64,255,73,114,64,15,521,0
0,65,243,77,122,62,17,521,0
0,66,236,71,132,64,18,521,0
0,67,227,73,139,61,21,521,0
0,68,220,66,148,65,22,521,0
0,69,210,69,153,67,22,521,0
0,70,199,72,160,68,22,521,0
0,71,194,71,166,64,26,521,0
0,72,189,65,179,61,27,521,0
0,73,187,55,191,60,28,521,0
0,74,184,47,202,60,28,521,0
0,75,176,45,209,62,29,521,0
0,76,171,42,221,53,34,521,0
0,77,168,37,227,51,38,521,0
0,78,161,40,231,50,39,521,0
0,79,154,42,242,43,40,521,0
0,80,149,39,248,42,43,521,0
0,81,146,35,252,44,44,521,0
0,82,143,34,257,41,46,521,0
0,83,139,32,259,44,47,521,0
0,84,133,29,266,45,48,521,0
0,85,132,25,272,44,48,521,0
0,86,129,23,280,39,50,521,0
0,87,128,20,286,35,52,521,0
0,88,127,16,291,35,52,521,0
0,89,123,16,293,37,52,521,0
0,90,121,16,295,37,52,521,0
0,91,121,14,300,34,52,521,0
0,92,120,13,304,30,54,521,0
0,93,118,14,314,20,55,521,0
0,94,116,15,315,20,55,521,0
0,95,114,14,320,18,55,521,0
0,96,113,13,325,15,55,521,0
0,97,112,14,327,13,55,521,0
0,98,112,11,331,11,56,521,0
0,99,112,6,335,12,56,521,0
0,100,110,4,338,13,56,521,0
0,101,109,5,339,11,57,521,0
0,102,109,4,341,9,58,521,0
0,103,109,4,341,9,58,521,0
0,104,109,2,343,9,58,521,0
0,105,109,1,344,9,58,521,0
0,106,109,1,346,7,58,521,0
0,107,109,1,348,5,58,521,0
0,108,109,1,348,5,58,521,0
0,109,109,1,348,5,58,521,0
0,110,109,1,349,4,58,521,0
0,111,109,1,350,3,58,521,0
0,112,109,0,351,3,58,521,0
0,113,109,0,352,2,58,521,0
0,114,109,0,353,1,58,521,0
0,115,109,0,353,1,58,521,0
0,116,109,0,353,1,58,521,0
0,117,109,0,354,0,58,521,0
0,118,109,0,354,0,58,521,0
0,119,109,0,354,0,58,521,0
